,Area,Year,Unit,Value
0,Afghanistan,2008,1000 tonnes,17
1,Afghanistan,2009,1000 tonnes,16
2,Afghanistan,2010,1000 tonnes,13
3,Afghanistan,2011,1000 tonnes,21
4,Afghanistan,2012,1000 tonnes,13
5,Afghanistan,2013,1000 tonnes,29
6,Albania,2008,1000 tonnes,0
7,Albania,2009,1000 tonnes,0
8,Albania,2010,1000 tonnes,0
9,Albania,2011,1000 tonnes,0
10,Albania,2012,1000 tonnes,0
11,Albania,2013,1000 tonnes,0
12,Algeria,2008,1000 tonnes,0
13,Algeria,2009,1000 tonnes,1
14,Algeria,2010,1000 tonnes,0
15,Algeria,2011,1000 tonnes,1
16,Algeria,2012,1000 tonnes,0
17,Algeria,2013,1000 tonnes,0
18,Angola,2008,1000 tonnes,26
19,Angola,2009,1000 tonnes,22
20,Angola,2010,1000 tonnes,32
21,Angola,2011,1000 tonnes,36
22,Angola,2012,1000 tonnes,48
23,Angola,2013,1000 tonnes,24
24,Antigua and Barbuda,2008,1000 tonnes,0
25,Antigua and Barbuda,2009,1000 tonnes,0
26,Antigua and Barbuda,2010,1000 tonnes,0
27,Antigua and Barbuda,2011,1000 tonnes,0
28,Antigua and Barbuda,2012,1000 tonnes,0
29,Antigua and Barbuda,2013,1000 tonnes,0
30,Argentina,2008,1000 tonnes,0
31,Argentina,2009,1000 tonnes,0
32,Argentina,2010,1000 tonnes,1
33,Argentina,2011,1000 tonnes,1
34,Argentina,2012,1000 tonnes,2
35,Argentina,2013,1000 tonnes,1
36,Armenia,2008,1000 tonnes,0
37,Armenia,2009,1000 tonnes,0
38,Armenia,2010,1000 tonnes,1
39,Armenia,2011,1000 tonnes,2
40,Armenia,2012,1000 tonnes,0
41,Armenia,2013,1000 tonnes,1
42,Australia,2008,1000 tonnes,4
43,Australia,2009,1000 tonnes,3
44,Australia,2010,1000 tonnes,4
45,Australia,2011,1000 tonnes,3
46,Australia,2012,1000 tonnes,2
47,Australia,2013,1000 tonnes,3
48,Austria,2008,1000 tonnes,35
49,Austria,2009,1000 tonnes,37
50,Austria,2010,1000 tonnes,38
51,Austria,2011,1000 tonnes,32
52,Austria,2012,1000 tonnes,29
53,Austria,2013,1000 tonnes,31
54,Azerbaijan,2008,1000 tonnes,1
55,Azerbaijan,2009,1000 tonnes,1
56,Azerbaijan,2010,1000 tonnes,2
